,company,location,salary,title
40538,    USC,"Los Angeles, CA","$55,494 - $92,497 a year",Programmer Analyst II
40564,    Los Angeles County Department of Human Resources,"Los Angeles, CA","$57,274 - $71,152 a year","RESEARCH ANALYST II, BEHAVIORAL SCIENCES"
40592,    Odesus,"Pasadena, CA 91101",$50 - $80 a day,Data Scientist
40593,    Clout.Com,"Los Angeles, CA 90036","$90,000 - $170,000 a year","Sr Database Dev/Data Scientist (Hadoop,Apache Apex,Kafka,Dri..."
40599,    USC,"Los Angeles, CA","$82,000 - $105,000 a year",Bioinformatics Programmer
40614,    Gavin de Becker & Associates,"Beverly Hills, CA","$40,000 - $45,000 a year",Investigations & Research Analyst
40622,    USC,"Los Angeles, CA","$56,250 - $99,999 a year",Statistician II
40656,    MACP Los Angeles,"Los Angeles, CA","$185,000 a year",Computer Vision Data Scientist
40669,    Smith Hanley Associates,"Calabasas, CA","$100,000 - $140,000 a year",Data Scientist
40675,    Los Angeles County Department of Human Resources,"Los Angeles, CA","$7,046 a month",CLINICAL LABORATORY SCIENTIST I (Blood Bank)
40701,    CooperGenomics,"Los Angeles, CA","$50,000 - $80,000 a year",Clinical Laboratory Scientist
40702,    All-In Analytics,"Los Angeles, CA","$150,000 - $180,000 a year",Senior Data Scientist
40708,    HERO.jobs,"Los Angeles, CA","$200,000 a year",Principal Data Scientist
40757,    Calpack Foods,"Torrance, CA 90501",$14 - $16 an hour,Quality Assurance Technician
40770,    California State University,"Fullerton, CA","$4,693 - $7,617 a month",STEM Research Grant Developer (Administrative Analyst/Specia...
40773,    TriFoil Imaging,"Chatsworth, CA 91311","$75,000 - $105,000 a year","Application Scientist, Pre-Clinical"
40802,    LT,"Los Angeles, CA","$225,000 a year",Mobile Director
40835,    Los Angeles County Department of Human Resources,"Los Angeles, CA","$84,336 - $110,616 a year",SUPERVISING CLINICAL LABORATORY SCIENTIST III
40839,    Los Angeles County Department of Human Resources,"Los Angeles, CA","$79,884 - $104,772 a year",SUPERVISING CLINICAL LABORATORY SCIENTIST II
40951,    LT,"Los Angeles, CA","$170,000 a year",Senior iOS Developer
40968,    Lighthouse Recruiting,"Pasadena, CA","$80,000 - $110,000 a year",LC/MS Clinical Laboratory Scientist
40986,    California State University - Fullerton,"Fullerton, CA","$4,693 - $7,617 a month",Institutional Large-Scale Research Grant Developer (Administ...
40987,    Cal State Fullerton,"Fullerton, CA","$4,693 - $7,617 a month",Institutional Large-Scale Research Grant Developer (Administ...
40988,    California State University - Fullerton,"Fullerton, CA","$4,693 - $7,617 a month",STEM Research Grant Developer (Administrative Analyst/Specia...
40989,    Cal State Fullerton,"Fullerton, CA","$4,693 - $7,617 a month",STEM Research Grant Developer (Administrative Analyst/Specia...
45017,    The University of Pittsburgh,"Pittsburgh, PA","$23,868 - $37,752 a year",Research Technician
45035,    SourceTek,"Pittsburgh, PA 15212","$80,000 a year",Backend Developer
45036,    SourceTek,"Pittsburgh, PA 15212","$80,000 a year",Frontend Developer
45047,    All-In Analytics,"Pittsburgh, PA","$53,000 - $98,000 a year",Senior Statistician
49469,    University of Miami,"Coral Gables, FL","$40,000 - $72,000 a year",(Temporary) Sr. Research Associate 1- Psychiatry
49471,    University of Miami,"Coral Gables, FL","$53,900 - $96,900 a year",Assistant Scientist
49472,    Miami Dade College,"Miami, FL 33132 (Downtown area)",$21.80 - $29.80 an hour,Part-Time Grant Research Analyst
49476,    University of Miami,"Coral Gables, FL","$53,900 - $96,900 a year",Sr. Research Associate 3
49478,    ace Talent Curators,"Miami, FL","$100,000 a year",Data Scientist
49489,    University of Miami,"Coral Gables, FL",$13.17 - $18.46 an hour,Research Assistant (Diabetes Research Clinical Support)
49490,    MSH Group,"Miami, FL 33131 (Downtown area)","$55,000 a year",Social & Data Analyst
49493,    University of Miami,"Coral Gables, FL","$53,900 - $96,900 a year","Psychiatry- Assistant Scientist, SOM"
49517,    Liberty Settlement Funding,"Dania Beach, FL","$30,000 a year",Legal Research Analyst
49520,    Staffing Resource Group,"Miami, FL",$25 an hour,Analytical Chemist
49524,"    Veterans Affairs, Veterans Health Administration","Miami, FL","$91,089 - $118,415 a year",Veterinary Medical Officer
49533,"    The Staffing Resource Group, Inc","Miami, FL",$25 an hour,Analytical R&D Associate Scientist 717 (ID#014)
49536,    University of Miami,"Coral Gables, FL",$13.17 - $18.46 an hour,Research Laboratory Technician (Molecular & Cellular Biology...
51396,    Morgan Stephens,"Miami, FL","$80,000 - $90,000 a year",Legal Librarian Research Analyst
53962,    Relus Technologies LLC,"Atlanta, GA","$85,000 a year",Data Scientist
53967,    Centers for Disease Control and Prevention,"Atlanta, GA","$125,132 - $161,900 a year",Health Scientist
53970,    Enterprise Select,"Duluth, GA","$96,400 a year",Data Scientist
53974,    Centers for Disease Control and Prevention,"Atlanta, GA","$90,023 - $117,028 a year",Statistician (Health)
53977,    Emory University,"Atlanta, GA","$96,900 a year",Research Informatics Analyst
53998,    Emory University,"Atlanta, GA","$77,600 a year","Scientist, Asst Bioinformatics"
54018,    Emory University,"Atlanta, GA","$64,100 a year",Bioinformatics Analyst
54021,    Emory University,"Atlanta, GA","$70,600 a year","Scientist, Asc (AR) SOM"
54022,"    HireIQ Solutions, Inc.","Atlanta, GA","$75,000 - $115,000 a year",Python Full Stack Engineer
54041,    Smith Hanley Associates,"Atlanta, GA","$110,000 - $130,000 a year",Data Scientist
54045,    Principle Solutions Group,"Roswell, GA","$100,000 a year",Statistical Analyst
54053,    Emory University,"Atlanta, GA","$58,300 a year",Technical Editor
54055,    Emory University,"Atlanta, GA","$53,200 a year",Program Coordinator
54064,    Emory University,"Atlanta, GA","$61,300 a year",Associate Sponsored Research Analyst
54072,    Emory University,"Atlanta, GA","$85,500 a year",Scientist (AR) SOM
54082,    Veredus,"Atlanta, GA",$60 - $80 an hour,Data Scientist
54087,    Analytic Recruiting,"Atlanta, GA","$70,000 - $145,000 a year",Data Scientist - Supply Chain Analytics
54107,    Emory University,"Atlanta, GA","$86,400 a year",Systems Software Engineer
54136,    Veredus,"Atlanta, GA","$60,000 - $90,000 a year",Data Analyst
54139,    Smith Hanley Associates,"Atlanta, GA","$90,000 - $120,000 a year",Statistician - Model Validation
54147,    Emory University,"Atlanta, GA","$85,500 a year",Assistant Director--Faculty Recruitment (Winship)
54148,    Emory University,"Atlanta, GA","$53,200 a year",Prospect Research Analyst-Development and Alumni Relations
54171,    Principle Solutions Group,"Roswell, GA","$120,000 a year",Senior Statistical Consultant
54262,    JSP Recruitment Services,"Duluth, GA","$70,000 - $80,000 a year","Accounting Policy, Research and Special Projects Senior Anal..."
58496,    NxT Level,"Seattle, WA","$125,000 - $160,000 a year",Data Scientist
58519,"    Pacific Market Research, LLC","Seattle, WA","$50,000 - $85,000 a year",Research Analyst
58525,    Cloudious LLC,"Redmond, WA","$100,000 - $150,000 a year",Data Scientist
58538,    University of Washington Medical Center,"Seattle, WA","$3,635 - $4,888 a month",SERVICE DESK ANALYST
58569,    Curacloud corp,"Seattle, WA 98105 (Ravenna - U District area)","$60,000 - $70,000 a year",Lab Technician
58593,    ALLEN INSTITUTE,"Seattle, WA 98103 (Green Lake - Wallingford area)",$50 - $100 an hour,Freelance C++ developer - DSP and graphics
58602,    University of Washington Medical Center,"Seattle, WA","$4,319 - $6,371 a month",MEDICAL LABORATORY SCIENTIST-TRAINEE OR 1
58603,    University of Washington Medical Center,"Seattle, WA","$4,319 - $6,371 a month",MEDICAL LABORATORY SCIENTIST 1 OR TRAINEE
58624,    University of Washington Medical Center,"Seattle, WA","$4,818 - $7,106 a month",MEDICAL LABORATORY SCIENTIST 2
58628,    University of Washington Medical Center,"Seattle, WA","$3,077 - $4,113 a month",CONTACT CENTER REPRESENTATIVE 1
58631,    Employment Trust,"Bellevue, WA","$100,000 - $135,000 a year",Data Engineer/Scientist
58655,    King County,"Seattle, WA","$80,413 - $101,920 a year",Project Program Manager III
58682,    King County,"Seattle, WA","$88,525 - $112,216 a year",Wastewater Capital Project Manager III (Biosolids Program)
58709,    Green River Community College,"Auburn, WA","$55,000 a year",Institutional Research Analyst
58756,    King County,"Snoqualmie, WA 98065",$31.23 - $39.58 an hour,Environmental Scientist I or II - TLT
58828,    King County,"Seattle, WA",$49.00 - $62.11 an hour,Assistant Division Director
58931,    University of Washington,"Seattle, WA",$24.67 - $35.32 an hour,ANATOMIC PATHOLOGY TECHNOLOGIST
58941,    Analytic Recruiting,"Seattle, WA","$150,000 a year",Sr Business Analyst - Microstrategy
58976,    Smith Hanley Associates,"Seattle, WA","$160,000 - $180,000 a year",Senior Data Scientist
59021,    King County,"Seattle, WA",$39.58 - $50.18 an hour,Engineer III
59030,    University of Washington Medical Center,"Seattle, WA","$2,910 - $3,879 a month",SUPPLY CHAIN TECHNICIAN LEAD
59080,    Vertisystem,"Redmond, WA",$70.92 an hour,Digital Signal Processing/DSP Engineer - contract
59162,    State of Washington,"Seattle, WA","$2,984 - $3,883 a month",Forms & Records Analyst 2 - Forensic Laboratory Services Bur...
59194,    University of Washington Medical Center,"Seattle, WA","$2,623 - $3,644 a month",PATIENT FINANCIAL SERVICES SPECIALIST 2
59204,    State of Washington,"Seattle, WA","$4,706 - $8,500 a month",Quality Process Manager (WMS Band 2)
59217,    University of Washington,"Seattle, WA","$3,175 - $4,540 a month",CLINICAL LABORATORY TECHNICIAN 2
59263,    University of Washington Medical Center,"Seattle, WA","$3,223 - $4,324 a month",BUYER 2 - MRO
62966,    University of Texas at Austin,"Austin, TX","$6,250 - $10,833 a month",Engineering Scientist - R and D Data Analysis Developer
62980,    University of Texas at Austin,"Austin, TX","$2,666 a month",Research Engineering/ Scientist Assistant
62986,    University of Texas at Austin,"Austin, TX","$6,250 - $10,833 a month",Engineering Scientist - HF Geo Algortihm Developer
62990,    University of Texas at Austin,"Austin, TX","$2,916 a month",Research Engineering/ Scientist Associate I (Exempt)
62997,"    Applied Research Laboratories, The University of T...","Austin, TX 78758 (North Austin area)","$75,000 - $130,000 a year",Engineering Scientist - R and D Algorithm and System Develop...
63012,"    Signature Science, LLC","Austin, TX 78759 (Arboretum area)","$79,000 a year",Computer Scientist/Software Engineer
63016,    City of Austin,"Austin, TX 78702 (Rosewood area)",$17.11 - $21.29 an hour,Water Quality Scientist/Water Quality Scientist Assistant
63022,    University of Texas at Austin,"Austin, TX","$5,400 - $6,500 a month",Engineering Scientist Associate - R and D Cyber Decision Sup...
63038,    Austin Fraser,"Austin, TX","$120,000 - $150,000 a year",Senior Data Engineer
63064,    University of Texas at Austin,"Austin, TX","$5,400 - $6,500 a month",Engineering Scientist Associate - Electronics Design Enginee...
63079,    University of Texas at Austin,"Austin, TX","$5,666 a month",Social Science/Humanities Research Associate V (Exempt) - Su...
63080,    University of Texas at Austin,"Austin, TX","$6,250 - $10,833 a month",Engineering Scientist - Satellite Attitude Determination Spe...
63083,    University of Texas at Austin,"Austin, TX","$5,000 a month",Engineering Scientist Associate - Research Software Engineer...
63087,    University of Texas at Austin,"Austin, TX","$6,250 a month",Engineering Scientist - Senior Research Software Engineer Ja...
63091,    Winston Fox,"Austin, TX","$120,000 - $200,000 a year",Software Development Engineers (Core Java)
63105,    University of Texas at Austin,"Austin, TX","$4,166 a month",Research Engineering/ Scientist Associate I (Exempt) - Colla...
63111,    Superior Group,"Austin, TX",$41 an hour,Scientist III
63114,    University of Texas at Austin,"Austin, TX","$6,250 - $10,833 a month",Engineering Scientist - Senior Software Defined Radio Receiv...
63116,    University of Texas at Austin,"Austin, TX","$5,400 - $6,500 a month",Engineering Scientist Associate - Information Systems Engine...
63130,    University of Texas at Austin,"Austin, TX","$5,000 - $5,833 a month",Research Engineering/ Scientist Associate IV (Exempt) - Radi...
67456,"    Kennedy Unlimited Inc, Professional Staffing","Portland, OR","$130,000 - $140,000 a year",Predictive Analytics (Machine Learning)
67457,    Department of Energy,"Portland, OR","$43,120 - $68,571 a year",Physical Scientist
67465,    Oregon Health & Science University,"Portland, OR","$48,000 - $55,000 a year",OCTRI Navigator Assistant
67467,    Oregon Health & Science University,"Portland, OR","$32,000 - $40,000 a year",Research Assistant 2
67469,    Metro,"Portland, OR 97232 (Kerns area)","$62,338 - $83,574 a year",Associate Parks and Nature Planner
67476,    Aroghia,"Portland, OR 97219 (Far Southwest area)",$60 - $80 a day,Data Scientist/Big Data
67477,    Portland General Electric,"Portland, OR 97204 (Downtown area)","$3,378 a month","Senior Analyst, Load Research (R17-196)"
67485,    University of Portland,"Portland, OR","$55,000 - $65,000 a year",Industry Relations Manager
67492,    Portland Community College,"Portland, OR 97280 (Far Southwest area)","$51,897 - $89,991 a year","Instructor and Program Chair, Medical Lab Technology"
67499,    Oregon Health & Science University,"Portland, OR","$47,484 a year",Postdoctoral Scholar
67502,    Oregon Health & Science University,"Portland, OR","$47,484 a year",Post Doctoral Scholar
67508,    State of Washington,"Vancouver, WA","$5,351 - $7,815 a month",Region 5 Regional Program Manager (WMS03) *03226-17
67512,    DiscoverOrg,"Vancouver, WA",$15 an hour,Corporate Research Analyst
0,    MillerCang Agency,"Jersey City, NJ","$150,000 a year",Data Scientist
15,    First Derivatives,"New York, NY 10022 (Midtown area)","$70,000 - $80,000 a year",Data Scientist
52,    MetroPlus Health Plan,"New York, NY","$90,000 - $115,000 a year",Data Scientist
71,    Enterprise Select,"New York, NY 10005 (Financial District area)","$185,000 a year",Data Scientist
95,    Smith Hanley Associates,"Newark, NJ","$160,000 - $180,000 a year",Data Scientist
174,    POLICE DEPARTMENT,"New York, NY","$70,286 - $88,213 a year",Data Analyst
186,    Averity,"Union, NJ","$100,000 - $140,000 a year",Senior Statistician / Data Scientist
189,    Geode Executive Search,"New York, NY","$130,000 a year",Data Scientist - Neural Networks
233,    DEPT OF HEALTH/MENTAL HYGIENE,"Queens, NY",$38.47 - $44.24 an hour,"Data Specialist, Bureau of Systems Strengthening and Access"
263,    Birch & James Associates Limited,"New York, NY","$70,000 - $110,000 a year",Client Facing Python Engineers for A.I data consultancy
298,    CONSUMER AFFAIRS,"Manhattan, NY","$70,286 - $82,000 a year",Senior Research Analyst
302,"    Kennedy Unlimited Inc, Professional Staffing","New York, NY","$130,000 - $140,000 a year",Predictive Analytics (Machine Learning)
354,    DEPARTMENT OF FINANCE,"Manhattan, NY","$70,286 - $80,829 a year",Policy Data Analyst
370,"    Clinical Research Laboratories, LLC","Piscataway, NJ 08854",$16.50 - $17.00 an hour,Clinical Research Technician
377,    Oliver James Associates,"New York, NY","$180,000 a year",Data Scientist
379,    ELSolutions,"New York, NY",$90 - $105 an hour,Data Scientist
394,    EPM Scientific,"New York, NY","$80,000 - $100,000 a year",Variant Scientist
413,    DEPT OF HEALTH/MENTAL HYGIENE,"New York, NY","$70,286 - $80,829 a year","Data Manager – Researcher, Bureau of Children, Youth & Famil..."
428,    Oliver James Associates,"New York, NY","$160,000 - $210,000 a year",Lead Data Scientist – Life Insurance
431,    DEPT OF ENVIRONMENT PROTECTION,"Manhattan, NY","$59,708 - $72,246 a year",Energy Data Policy Advisor
445,    GUTTMACHER,"New York, NY","$40,000 a year",Research Assistant I
456,    Vera Institute of Justice,"New York, NY 10279 (Financial District area)","$40,000 - $45,000 a year","Research Analyst, Policing and SUMH"
517,    On-Board Services,"Franklin Lakes, NJ",$40 an hour,Scientist / Chemist
519,    DEPARTMENT OF FINANCE,"Manhattan, NY","$70,286 - $80,829 a year",Senior Modeler
562,    Princeton Consulting,"New York, NY 10018 (Clinton area)","$130,000 - $160,000 a year",Quantitative Engineer & Analyst
565,    605,"New York, NY","$95,000 - $130,000 a year",Full-Stack Engineer
597,    Research Foundation of The City University of New...,"New York, NY","$60,000 - $70,000 a year",Research Analyst II
638,    POLICE DEPARTMENT,"New York, NY","$42,288 - $63,519 a year","Statistician, Level I"
639,"    Clinical Research Laboratories, LLC","Piscataway, NJ 08854",$16.50 - $17.00 an hour,Bioinstrumentation Lab Technician
644,    DEPT OF YOUTH & COMM DEV SRVS,"Manhattan, NY","$70,286 - $85,000 a year",Research Associate
650,    AiCure,"New York, NY","$40,000 - $50,000 a year",Office Manager
652,    Enterprise Select,"New York, NY 10011 (Chelsea area)","$140,000 a year",Senior Data Engineer
669,    Access Staffing LLC,"New York, NY 10017 (Midtown area)","$140,000 - $200,000 a year",Senior Quantitative Financial Analyst-Audit Model Risk
675,    Averity,"Union, NJ","$100,000 - $140,000 a year",Sr. Statistician for Global for Top Name-Brand Company
682,    HRA/DEPT OF SOCIAL SERVICES,"Manhattan, NY","$57,969 - $62,000 a year",DATA ANALYST
688,    DEPT OF HEALTH/MENTAL HYGIENE,"Manhattan, NY","$59,708 - $65,678 a year","PECO Data Analyst, Bureau of Emergency Field Operations"
693,    DEPARTMENT OF FINANCE,"Brooklyn, NY","$70,286 - $80,829 a year",Data Analyst/Modeler
740,    Averity,"New York, NY","$160,000 - $180,000 a year",Director of Data Science (Startup)
759,    BOARD OF CORRECTION,"New York, NY","$70,286 - $80,829 a year",Director of Research and Analysis
783,    S.C. International,"New York, NY","$130,000 a year",Sr. Modeling Data Scientist
785,    DEPT OF HEALTH/MENTAL HYGIENE,"Manhattan, NY","$59,708 - $72,246 a year","Panel Maintenance Analyst, World Trade Center Health Registr..."
788,    HRA/DEPT OF SOCIAL SERVICES,"Manhattan, NY","$78,630 - $94,500 a year",Senior Project Manager
792,"    Envisagenics, Inc.","New York, NY","$75,000 - $105,000 a year",Software Engineer
798,    DEPT OF HEALTH/MENTAL HYGIENE,"Queens, NY","$78,630 - $102,600 a year","Senior Research Analyst, Bureau of Maternal Infant and Repro..."
827,    Execu | Search,"New York, NY","$100,000 - $200,000 a year",Data Scientist
831,    AiCure,"New York, NY","$60,000 - $80,000 a year",IT Support Specialist
832,    Robert Walters,"New York, NY","$90,000 - $140,000 a year",Quantitative Risk Analyst
840,    Algorithmic Districting Initiative (Non-Profit),"New York, NY 10011 (Chelsea area)","$120,000 a year",Democracy & Mapping Engineer
861,    DEPT OF HEALTH/MENTAL HYGIENE,"Queens, NY","$70,286 - $87,295 a year","Evaluation Specialist, Disease Control Administration"
866,    Analytic Recruiting,"New York, NY 10017 (Midtown area)","$160,000 a year",Senior Data Scientist
889,    DEPARTMENT OF TRANSPORTATION,"Manhattan, NY","$70,286 - $88,213 a year",Environmental Compliance Specialist
895,    DEPT OF HEALTH/MENTAL HYGIENE,"Queens, NY","$85,211 - $110,522 a year","Research Scientist of Special Projects, World Trade Center H..."
900,    Analytic Recruiting,"New York, NY 10017 (Midtown area)","$75,000 - $100,000 a year","Data Scientist, Marketing Analytics"
903,    Adecco: USA,"Jersey City, NJ",$45 - $50 an hour,Sr. Clinical Data Specialist (Associate or Scientist)
906,    DEPT OF HEALTH/MENTAL HYGIENE,"Queens, NY","$70,286 - $88,213 a year","Special Assistant to the Commissioner, Office of the Commiss..."
1180,    DEPT OF ENVIRONMENT PROTECTION,"Queens, NY","$78,630 - $103,332 a year",Environmental Health & Safety Auditor
1182,    DEPT OF ENVIRONMENT PROTECTION,"Queens, NY","$70,286 - $88,213 a year",OSPE Program Analyst
1358,    DEPT OF HEALTH/MENTAL HYGIENE,"Queens, NY","$85,211 - $110,522 a year","Evaluation Lead, Bureau of Systems Strengthening and Access"
2593,    ADMIN FOR CHILDREN'S SVCS,"New York, NY","$68,239 - $85,644 a year",Child Welfare Analyst
3164,    Oklahoma Investment Group,"Oklahoma City, OK 73103","$35,000 - $50,000 a year",Property Research Analyst
6300,    Harnham,"Wilmington, NC","$100,000 a year",Quantitative Reporting Analyst
6301,    Harnham,"Wilmington, NC","$130,000 a year",Data Scientist - Financial Services
8050,    PharmLabs Coachella Valley LLC,"Coachella, CA 92236",$17 - $20 an hour,Scientific Laboratory Technician
11194,"    University of California, Davis","Davis, CA","$4,742 - $8,799 a month",Data Management and Analysis Coordinator
11201,    Keeper Security,"El Dorado Hills, CA","$100,000 - $125,000 a year",Analytics Data Scientist
11206,    California Northstate University,"Elk Grove, CA","$50,000 - $70,000 a year",Institutional Research Analyst
11212,"    CSU, Chico Research Foundation","Sacramento, CA",$20 an hour,GIC Biology Technician II
11219,    Advance Services,"Woodland, CA",$10.50 an hour,Temporary Summer Assistant
11220,"    University of California, Davis","Davis, CA","$3,908 - $7,261 a month",SENIOR PROSPECT RESEARCH ANALYST
11222,    Advance Services,"Woodland, CA",$10.50 an hour,Summer Research Assistant
11228,    Department of the Army,"Sacramento, CA","$43,895 - $57,067 a year",Regulatory Project Manager (Interdisciplinary)
11238,    Novogene Corporation Inc.,"Sacramento, CA","$60,000 - $90,000 a year",Clinical Genetics Laboratory Supervisor
14371,"    Veterans Affairs, Veterans Health Administration","West Haven, CT","$82,304 - $106,998 a year",Statistician (PRIME)
14402,    Smith Hanley Associates,"Stamford, CT","$100,000 - $115,000 a year",Data Scientist
14409,    Fortira,"Groton, CT",$35 - $40 an hour,Scientist II
14437,    Smith Hanley Associates,"Norwalk, CT","$105,000 a year",Lead Quantitative Modeling Analyst
14456,    Fortira,"Groton, CT",$35 - $39 an hour,Chemist III
14496,    Fortira,"Groton, CT",$16 an hour,Biological Lab Technician
14502,    Clark Davis Associates,"Danbury, CT","$110,000 a year",Senior Statistical Programmer
14506,    Analytic Recruiting,"Ridgefield, CT","$90,000 - $145,000 a year","Data Scientist, Pharma Analytics"
14531,    Lighthouse Recruiting,"Norwalk, CT","$54,000 - $72,000 a year",Medical Technologist
17491,    State of Tennessee,"Davidson County, TN","$3,205 a month",STATISTICAL PROGRAMMER SPEC 2-071917-16
17506,    LP Environmental,"Nashville, TN 37220","$50,000 - $100,000 a year",Environmental Consultant
17530,    The CSI Companies,"Franklin, TN 37067",$12 - $14 an hour,Medical Records Research Analyst
20643,"    Shepherd's Hope, Inc.","Orlando, FL 32819 (Florida Center area)","$32,000 - $42,000 a year",Health Information Data Analysis
20661,    Orange County Fire Resue Department,"Winter Park, FL","$58,656 - $75,608 a year",Research Statistician
23785,    Louisiana State Government,"New Orleans, LA","$3,051 - $6,072 a month",Environmental Health Scientist Coordinator
23795,    Department of Veterans Affairs - Agency Wide,"New Orleans, LA","$52,550 - $68,318 a year",Medical Technologist/CLS/(Part-time)/Alternate Tours:Evening...
26944,    State of Minnesota,"Saint Paul, MN",$21.98 - $32.24 an hour,Research Analyst Specialist
26946,    State of Minnesota,"Saint Paul, MN",$25.22 - $37.16 an hour,Research Scientist 2
26948,"    Kennedy Unlimited Inc, Professional Staffing","Minneapolis, MN","$130,000 - $140,000 a year",Predictive Analytics (Machine Learning)
26972,    State of Minnesota,"Saint Paul, MN",$25.22 - $37.16 an hour,Toxicologist / Health Risk Assessor-Research Scientist 2
26989,    Volt Workforce Solutions,"Saint Paul, MN",$35.54 an hour,Clinical Data Analyst/Scientist/Engineer
27047,    Thomson Reuters,"Eagan, MN",$23.33 an hour,Legal Research Analyst
27055,    George Konik Associates,"Saint Paul, MN","$80,000 - $110,000 a year",Market Research Analyst
27057,    Volt Workforce Solutions,"Maplewood, MN",$17 an hour,Technician I
30069,    Logos Infotech Inc,"San Antonio, TX","$117,000 a year","Senior Consultant, Advanced Analytics"
30082,    Department of the Air Force,"Lackland AFB, TX","$85,816 - $131,833 a year",HYDROLOGIST
30106,    Department of the Interior,"San Antonio, TX","$32,844 - $47,598 a year",Hydrologic Technician GS-1316-05/06 (DEU-PERM-MB)
30134,    Z&A Recruiting,"San Antonio, TX 78258","$80,000 - $90,000 a year",Senior Market Research Analyst
33234,    Roswell Biotechnologies,"San Diego, CA","$80,000 a year",Signal Processing Data Scientist
33238,    Department of Defense,"San Diego, CA","$79,644 - $123,117 a year",PROGRAM ANALYST
33242,"    Trovagene, Inc.","San Diego, CA 92130","$110,000 - $140,000 a year",Scientist/Sr. Scientist Computational Biology
33246,"    TrendSource, Inc.","San Diego, CA 92110","$42,000 a year",Research Analyst I
33264,    Department of the Navy,"San Diego, CA","$49,765 - $123,234 a year",Professional Engineers
33276,    Department of the Navy,"San Diego, CA","$44,899 - $86,378 a year",Industrial Engineering Technician
33294,    UC San Diego,"San Diego, CA","$75,000 - $112,000 a year",NDEx Senior Developer
33320,    Center for Applied Internet Data Analysis (CAIDA),"La Jolla, CA",$13 an hour,Programmer/Research Assistant
33323,    Department of the Navy,"Coronado, CA","$44,899 - $71,400 a year",FINANCIAL MANAGEMENT ANALYST
33329,    Department of Veterans Affairs,"San Diego, CA 92161","$69,202 - $89,966 a year",Medical Technologist (Microbiology)
33362,"    Veterans Affairs, Veterans Health Administration","San Diego, CA","$69,202 - $89,966 a year",MEDICAL TECHNOLOGIST (MICROBIOLOGY)
33381,    Department of the Navy,"San Diego, CA","$32,844 - $58,373 a year",Chemist
33383,    Sharpedge Solutions Inc.,"San Diego, CA","$100,000 a year",Senior Software Engineer - Java
33565,    Hunter International,"San Diego, CA",$25 - $30 an hour,Molecular Biologist
36361,    MD Anderson Cancer Center,"Houston, TX","$76,400 - $114,600 a year",Computational Scientist
36370,    Rice University,"Houston, TX","$40,800 - $79,100 a year",Research Scientist
36382,    MD Anderson Cancer Center,"Houston, TX","$42,400 - $63,600 a year",Data Analyst- Immunology
36388,    MD Anderson Cancer Center,"Houston, TX","$45,500 - $82,000 a year",Research Admin Analyst
36390,    MD Anderson Cancer Center,"Houston, TX","$66,400 - $99,600 a year",Research Statistical Analyst -Bioinformatics & Computational...
36403,    Baylor College of Medicine,"Houston, TX","$43,794 a year",Quality Assurance Analyst (Research)
36408,"    Earl Carl Institute for Legal & Social Policy, Inc...","Houston, TX","$20,000 - $25,000 a year",Part Time Academic Research and Writing Policy Analyst Posit...
36414,    MD Anderson Cancer Center,"Houston, TX","$51,600 - $77,400 a year",Research Scientist - Neuro-Oncology - Research
36415,    MD Anderson Cancer Center,"Houston, TX","$51,600 - $77,400 a year",Research Scientist - Molecular & Cellular Oncology
36416,    MD Anderson Cancer Center,"Houston, TX","$51,600 - $77,400 a year",Research Scientist - Thoracic H&N Med Oncology - Research
36418,    MD Anderson Cancer Center,"Houston, TX","$51,600 - $77,400 a year","Research Scientist, Experimental Radiation Oncology"
36424,    MD Anderson Cancer Center,"Houston, TX","$25,200 - $51,500 a year",Institute Associate Scientist I – Medicinal Chemistry
36435,    MD Anderson Cancer Center,"Houston, TX","$46,500 - $83,000 a year",Institute Associate Scientist II – Protein Production
36443,    MD Anderson Cancer Center,"Houston, TX","$62,500 - $94,000 a year",Institute Assoc Scientist III - Neurodegeneration Consort
36461,    MD Anderson Cancer Center,"Houston, TX","$38,000 - $57,000 a year",Senior Research Assistant - Neurosurgery Research
36472,    MD Anderson Cancer Center,"Houston, TX","$66,400 - $99,600 a year","Research Programmer - Genetics, next generation sequencing (..."
36487,    MD Anderson Cancer Center,"Houston, TX","$95,000 - $142,000 a year",Institute Research Scientist - Translational Biology
36488,    MD Anderson Cancer Center,"Houston, TX","$76,400 - $114,600 a year","Sr Systems Analyst, Quantitative Research Computing - C #, A..."
36494,    Oscar Technology,"Houston, TX","$200,000 - $300,000 a year",Head of Engineering - Accounting Platform
36502,    MD Anderson Cancer Center,"Houston, TX","$125,000 - $187,000 a year","Principal Institute Research Scientist - Drug Discovery, Bio..."
36508,    The University of Texas Medical Branch,"League City, TX","$53,600 - $80,400 a year",Medical Lab Scientist
39506,    Emerald Resource Group,"Cleveland, OH","$75,000 - $90,000 a year",Data Scientist - Predictive Analytics
39515,    ExchangeBase,"Rocky River, OH","$36,000 - $40,000 a year",Research Analyst
39520,"    Pacific Western Technologies, Ltd.","Cleveland, OH","$40,000 - $50,000 a year",Environmental Scientist/Engineer
39535,    Action Management Services,"Cleveland, OH","$68,000 a year",Accounting Research Analyst
39554,    Hunter International,"Beachwood, OH",$15 an hour,Laboratory Technician | Concrete Tester
39555,    Hunter International,"Beachwood, OH",$15 an hour,CONCRETE TESTER
