,company,location,salary,summary,title,float_salary
64316,    California Northstate University,"Elk Grove, CA","$50,000 - $70,000 a year",Work with IT database administrator to ensure accuracy of data storage and extraction. Ability to manage projects....,Institutional Research Analyst,60000.0
64323,"    University of California, Davis","Davis, CA","$3,908 - $7,261 a month","Decision making skills to prioritize tasks, manage time, anticipate problems, manage multiple projects and meet multiple deadlines....",SENIOR PROSPECT RESEARCH ANALYST,67014.0
64327,    Advance Services,"Woodland, CA",$10.50 an hour,"Effectively communicate field observations to research associates, scientist and other collaborators. Must participate in all aspects of the research center...",Temporary Summer Assistant,21840.0
64328,"    University of California, Davis","Davis, CA",$21.98 - $35.15 an hour,This position is subject to Medical Surveillance procedures and review in accordance with Federal and State Laws and Regulations and University Policy....,CONTRACTS & GRANTS ANALYST II,59415.2
64332,    Advance Services,"Woodland, CA",$10.50 an hour,"Effectively communicate field observations to research associates, scientist and other collaborators. Must participate in all aspects of the research center...",Summer Research Assistant,21840.0
64338,"    CSU, Chico Research Foundation","Sacramento, CA",$20 an hour,"Working closely with Environmental Scientists and GIS Analysts in a group setting, the incumbent works on developing and updating the California Wildlife...",GIC Biology Technician II,41600.0
64351,    Novogene Corporation Inc.,"Sacramento, CA","$60,000 - $90,000 a year",Successful candidates must currently be licensed through the State of California as a Clinical Genetics Molecular Biologist Scientist (CGMBS)....,Clinical Genetics Laboratory Supervisor,75000.0
64355,    Department of the Army,"Sacramento, CA","$43,895 - $57,067 a year",Physical Scientist (1301). Your responses are subject to verification. Salary includes applicable locality pay or Local Market Supplement....,Regulatory Project Manager (Interdisciplinary),50481.0
67463,    University of Texas at Dallas,"Richardson, TX","$55,000 a year",The successful candidates will work collaboratively with a team of engineers and scientists to develop biomedical devices for eventual deployment as clinical...,Research Associate,55000.0
67585,    Themesoft Inc,"Dallas, TX",$50 an hour,Senior Data Scientist *Location:. Experience with Big Data message brokers e.g. Kafka and message queuing preferred....,"Senior Data Scientist - Dallas,TX",104000.0
67594,    Medcillary,"Dallas, TX","$32,000 a year","With Medcillary, you will have the opportunity to work with some of the most experienced physician pathologists, surgeons, doctoral scientists, certified...",Administrative Assistant,32000.0
70605,    Anchor Point Technology Resources,"Wichita, KS","$100,000 a year",Client's scientists are globally located in R&D Centers of Excellence to better serve our customer’s needs....,District Sales Manager,100000.0
73754,"    Jackson County, Missouri","Kansas City, MO 64106 (Downtown area)",$13.40 an hour,"Verifies and analyzes real estate sales, leases, income/expense and mortgage data from various sources for use by Real Estate units in the Assessment Department...",Research Analyst,27872.0
73763,    Jackson County Department of Corrections,"Kansas City, MO",$13.40 an hour,"Verifies and analyzes real estate sales, leases, income/expense and mortgage data from various sources for use by Real Estate units in the Assessment Department...",Research Analyst,27872.0
73788,    Honeywell,"Kansas City, KS",$16.80 an hour,"With approximately 132,000 employees worldwide, including more than 22,000 engineers and scientists, we have an unrelenting focus on performance, quality,...",Production Fabricator (Any Shift),34944.0
73801,    Honeywell,"Kansas City, KS",$23.36 an hour,"With approximately 132,000 employees worldwide, including more than 22,000 engineers and scientists, we have an unrelenting focus on performance, quality,...","Inspector, Tool & Precision Gage (Any Shift)",48588.8
73813,    Honeywell,"Kansas City, KS",$23.36 an hour,"With approximately 132,000 employees worldwide, including more than 22,000 engineers and scientists, we have an unrelenting focus on performance, quality,...",Tool & Precision Gage Inspector (Any Shift),48588.8
76991,"    Kennedy Unlimited Inc, Professional Staffing","San Francisco, CA","$130,000 - $140,000 a year",4 plus years of current projects involving predictive analytics and hands-on machine learning techniques. Use your current research and analysis skills to apply...,Predictive Analytics (Machine Learning),135000.0
77179,    Workbridge Associates,"San Francisco, CA","$160,000 - $180,000 a year",4+ experience in data science or data engineering. A start up in San Francisco is looking for an experienced Data Scientist to join their team....,Data Scientist,170000.0
77251,    University of California Berkeley,"Berkeley, CA","$58,945 - $158,270 a year","Established in 2005, SCET's mission has been to equip engineers and scientists with the skills to innovate, productize, and commercialize technology in the...",Lecturer - Sutardja Center for Entrepreneurship & Technology,108607.5
77311,"    Q-Chem, Inc.","Pleasanton, CA 94588",$17 an hour,"Individual must possess the ability to manage multiple priorities in a fast paced environment; The Administrative Assistant in Pleasanton, CA, will be...","Administrative Assistant - Pleasanton, CA",35360.0
77329,    Glocomms,"San Francisco, CA","$140,000 - $180,000 a year",You’ll be collecting and reprocessing data and designing and using machine learning algorithms on production data....,Data Engineer (Machine Learning),160000.0
77515,    Tandem Recruiting Group,"San Francisco Bay Area, CA","$130,000 - $150,000 a year","This team is building a coherent AI platform that integrates a diverse set of machine learning capabilities behind a common interface, and provides deep...",Principal Machine Learning Scientist,140000.0
77705,    Harnham,"San Francisco, CA","$150,000 - $180,000 a year","YOUR ROLE AS A SENIOR DATA SCIENTIST:. As such, you should have demonstrable programming skills and be comfortable working in a fast paced environment, have a...",Senior Data Scientist,165000.0
77712,    Fortira,"San Francisco, CA",$45 an hour,Present data to scientists and management in internal venues (technical and project team meetings). Contribute to project technical teams to ensure effective...,Bench Scientist,93600.0
77717,    Harnham,"Emeryville, CA","$190,000 a year",Experience working with data scientists is a huge plus. You will join a team of elite data scientists and engineers working on challenging big data projects...,"Principal Engineer, Artificial Intelligence",190000.0
77741,    DONOR NETWORK WEST,"San Ramon, CA",$24.63 - $35.72 an hour,"You will work collaboratively with a range of high level external professionals including transplant physicians, infectious disease specialists, clinical...",Organ Transplant Oversight Coordinator (PC),62764.0
80044,    Logos Infotech Inc,"San Antonio, TX","$117,000 a year",The Senior consultant will collaboratively work along with senior engagement managers & lead a team of analysts and data scientists across the globe....,"Senior Consultant, Advanced Analytics",117000.0
80068,    Department of the Air Force,"Lackland AFB, TX","$85,816 - $131,833 a year",Ability to develop long-range plans plus develop a budget for resources to enact these plans and ability to integrate an interdisciplinary team of professionals...,HYDROLOGIST,108824.5
80101,    Z&A Recruiting,"San Antonio, TX 78258","$80,000 - $90,000 a year","Extensive background in obtaining, analyzing, 3rd party data (Truven, Definitive Health, CMS). The Market Insights Analyst is responsible for driving complex...",Senior Market Research Analyst,85000.0
83198,    TekHiring.com,"Sunnyvale, CA",$55 - $90 an hour,"Machine Intelligence for the purposes of conducting machine learning and deep neural networks using *TensorFlow, MLLIB*....",Data Scientist @ Apple.Inc,150800.0
83213,    TERADEEP INC.,"Campbell, CA","$40,000 - $80,000 a year",Develop highly scalable classifiers / detectors and tools leveraging machine / deep learning in cloud-based applications....,Machine Learning / Deep Learning Internship(s),60000.0
83238,"    Cloudleaf, Inc","Milpitas, CA","$150,000 - $300,000 a year",We are looking for a talented and self-driven individual who is an expert at real-time data processing and apply various machine learning algorithms to develop...,Data Scientist Lead,225000.0
83320,    Enterprise Select,"Santa Clara, CA 95050","$150,000 a year","If you are passionate about machine learning, big data, medical diagnostics and challenging scientific research problems, this is the opportunity of a lifetime!...","Principal Data Scientist, Sequencing",150000.0
83412,    MatchPointe Group,"San Jose, CA","$170,000 - $220,000 a year","Ability to mentor other architects, data scientists and engineers in career and skill growth. We are looking for a senior manager in Data Analytics to lead a...","Senior Manager, Data Analysis Software Engineer",195000.0
83465,    Talent Space Inc,"Menlo Park, CA",$80 an hour,Our client in Menlo Park is looking for a Data Scientist to join their team asap! Linux Application Development experience. Experience with DNN and CNN....,Data Scientist (Local W2 Candidates only),166400.0
83466,    Consultative Search Group,"Santa Clara, CA",$85 an hour,"As a key member of the Data Scientists team, you will be responsible for applying machine learning principals to the large datasets while addressing many...",Machine Learning Engineer,176800.0
83520,    Jobspring Partners,"San Jose, CA 95113 (Downtown area)",$80 an hour,Also you will have the opportunity to be a mentor to Junior Scientists looking to make an impact in the world of Data Science....,Data Scientist (Contract-to-Hire),166400.0
83552,    RC4WD Inc.,"San Jose, CA 95123 (Blossom Valley area)",$15 - $20 an hour,"Data entry and data analysis. If you good with numbers and are looking to work in a fast paced growing company, RC4WD is the company for you!...",Purchasing/Data Analysis Specialist,36400.0
83675,    Jobspring Partners,"San Jose, CA 95113 (Downtown area)","$140,000 - $160,000 a year","Experience with scientific computing languages (e.g., Python, R, Matlab, Scala, Julia). Experience with AI, machine learning, natural language processing, and...",Senior Data Scientist,150000.0
83739,    Jobspring Partners,"San Jose, CA 95113 (Downtown area)","$140,000 - $180,000 a year","While the project is still in stealth mode phase, you’ll have the opportunity to make a huge impact on a evolving project that affects millions of people....",Machine Learning/Deep Learning Engineer,160000.0
83740,    Jobspring Partners,"San Jose, CA 95113 (Downtown area)","$165,000 - $180,000 a year","Proven background in Computer Vision, Signal Processing, Machine Vision, Remote Sensing, Machine Learning, or similar fields....",Machine Learning Engineer,172500.0
83781,    Workbridge Associates,"San Jose, CA 95113 (Downtown area)","$150,000 - $195,000 a year","A venture-backed, fast growing startup is looking to grow out a brand new analytics department in their Cupertino office by hiring a Senior Data Scientist that...",Senior Data Scientist,172500.0
83791,    Workbridge Associates,"San Jose, CA 95113 (Downtown area)","$160,000 - $200,000 a year",Big Data technology experience. You will be responsible for building machine learning algorithms to improve the lives of current drivers and self driving cars....,Senior Machine Learning Data Scientist,180000.0
83818,    Glocomms,"Sunnyvale, CA","$150,000 - $180,000 a year",They are seeking Machine Learning Engineers who have experience working on self-driving cars in either professional or educational environment....,Machine Learning Engineer/Robotics,165000.0
83872,    Jobspring Partners,"San Jose, CA 95113 (Downtown area)","$170,000 - $200,000 a year",You will be working heavily in the Machine Learning space to basically help identify and freeze hackers and other security risks out of the internet for good...,Head of Data Science,185000.0
83874,    Jobspring Partners,"San Jose, CA 95113 (Downtown area)","$160,000 - $180,000 a year","At least 3 years of industry experience in data mining, machine learning and statistical analysis. They are seeking a Machine Learning Engineer that is...",Machine Learning Engineer (AI/Robotics),170000.0
83943,    Jobspring Partners,"San Jose, CA 95113 (Downtown area)","$140,000 - $180,000 a year","Experience with large data sets. Familiarity with Linux. The ideal candidate will have at least 4 years of professional experience with 3D mapping (3D geometry,...",3D Mapping Scientist,160000.0
83951,    Tailored Management,"Santa Clara, CA",$27 - $30 an hour,The Scientist I will become an expert on the theory and analysis of the data from the new Single Molecule Sequencing platform and help take the machine from an...,Scientist,59280.0
83960,    Jobspring Partners,"San Jose, CA 95113 (Downtown area)",$80 - $120 an hour,Develop infrastructure management tools to schedule data analytics tasks on available GPU hardware for internal and vehicle-facing workloads....,GPU/Machine Learning Engineer,208000.0
84060,    Genial Technology,"Silicon Valley, CA","$110,000 - $140,000 a year",GenialTech is developing an online tool to reduce accountants' effort for data preparation and management by applying advanced machine learning techniques to...,Lead Software Engineer - Cloud and Machine Learning,125000.0
86421,    Fortira,"Groton, CT",$35 - $40 an hour,Involves straightforward data collection. Processing of NMR data • Statistical analysis of data • Preparation of aqueous buffers with pH analysis • Design of...,Scientist II,78000.0
86431,    Makro,"Groton, CT",$26 an hour,Available for the project:. Additionally this individual will be responsible for routine administrative tasks.POSITION RESPONSIBILITIES • Perform standard...,Bench Scientist I,54080.0
86453,    All-In Analytics,"Hartford, CT","$140,000 - $150,000 a year","7 – 10years related experience with healthcare data analytics, statistical analysis, predictive modeling, machine learning techniques, and visualization tools....",Lead Data Scientist,145000.0
86481,    Fortira,"Groton, CT",$16 an hour,"O Data entry, management, and reconciliation o Creation of SOPs o Email o Oral and written communication with peers and management • Registering and...",Biological Lab Technician,33280.0
86486,    Pfizer Inc.,"Groton, CT 06340","$93,000 a year",Ensure that material manufactured for clinical trials is of suitable quality to be engineered into Pfizer products by building genotoxic control strategies...,Senior Scientist,93000.0
86490,    Fortira,"Groton, CT",$35 - $39 an hour,Involves straightforward data collection. Processing of NMR data • Statistical analysis of data • Preparation of aqueous buffers with pH analysis • Design of...,Chemist III,76960.0
86509,    Analytic Recruiting,"Ridgefield, CT","$90,000 - $145,000 a year",Analytics consultancy seeks Data Scientists to provide analytic support to their clients’ various initiatives....,"Data Scientist, Pharma Analytics",117500.0
86528,    Lighthouse Recruiting,"Norwalk, CT","$54,000 - $72,000 a year","The Laboratorian features a list of open clinical lab jobs, the latest industry news, salary information, volunteer opportunities, upcoming laboratory...",Medical Technologist,63000.0
89488,    Piper Companies,"Durham, NC 27703","$105,000 - $115,000 a year",The Data Scientist will work on a new data analysis project. Responsibilities for the Data Scientist:. Qualifications and Skills of Data Scientist:....,Data Scientist,110000.0
89489,    Piper Companies,"Durham, NC","$105,000 - $130,000 a year",Data Scientist - Machine Learning. Piper Enterprise Solutions is seeking a Data Scientist with machine learning experience to join a growing bioinformatics...,Data Scientist / Machine Learning,117500.0
89490,    ITS Technologies,"Raleigh, NC","$150,000 a year","Ability to collaborate effectively with business stakeholders, performance consultants, data scientists, and other data engineers....",Data Scientist,150000.0
89492,"    Sente Data Science, LLC","Cary, NC","$80,000 - $110,000 a year","Excellent understanding of data science and machine learning techniques and algorithms. Sente Data Science is seeking a Data Scientist for our team in Cary,...",Data Scientist,95000.0
89501,    Oak Ridge Associated Universities,"Chapel Hill, NC",$28.14 an hour,"The Epidemiology Branch (EB) of the Environmental Public Health Division (EPHD), National Health and Environmental Effects Research Laboratory (NHEERL), Office...",Human Health and Wellbeing Research Support at EPA,58531.2
89503,    Piper Companies,"Research Triangle Park, NC 27709",$70 - $90 an hour,Company Statisticians will work independently interface directly with 2 to 3 clients as their statistical analysis subject matter expert....,Contract Statistician,166400.0
89514,    University of North Carolina,"Chapel Hill, NC 27517","$34,997 - $56,471 a year","Radiation oncology is a highly-integrated, multidisciplinary medical specialty involving close interactions between physicians, physicists and dosimetrists,...",Soc/Clin Research Specialist,45734.0
89520,    Piper Companies,"Morrisville, NC 27560",$55 - $65 an hour,"Creation for SAS datasets of clinical data from clinical databases. Responsibility for overall project delivery, including clinical trial reports and other...",Statistical Programmer,124800.0
89533,    University of North Carolina,"Chapel Hill, NC 27517","$30,206 - $35,000 a year","The CDS is inter-institutional and its faculty consists primarily of scientists from Duke University, University of North Carolina at Chapel Hill, Meredith...",Research Assistant,32603.0
89541,    Oak Ridge Associated Universities,"Chapel Hill, NC",$28.14 an hour,The research utilizes human subject data and publicly available databases to investigate the human health effects of air and water pollutants and other...,Epidemiological Research Support (Part-Time) at EPA,58531.2
89566,    All-In Analytics,"Raleigh, NC","$155,000 - $215,000 a year","Motivate, coach, evaluate, and celebrate our data scientists. Data Scientists are deeply involved in all stages of product development....","Director Data Scientist, Product",185000.0
89573,    LifeScale Analytics,"Raleigh-Durham, NC","$140,000 a year",The function of the Hadoop Integration Data Scientist is to provide deep big data technical expertise in testing and Hail implementation within the Hadoop...,Hadoop Integration Data Scientist,140000.0
89582,    Seqirus A CSL Company,"Holly Springs, NC","$94,661 - $109,000 a year",See below JOB TITLE: Statistician II (Job Code: GR0218) DETAILS: Provide statistical expertise to drive the application of advanced and state-of-the-art...,Statistician II (Job Code: GR0218),101830.5
89592,    North Carolina State University,"Raleigh, NC","$31,888 - $54,002 a year","Administered by the College of Natural Resources ( CNR ), the Center is playing a leadership role in decision-support analytics through cutting-edge research...",Business Services Coordinator,42945.0
89595,    Hunter International,"Research Triangle Park, NC",$29 an hour,"Analyzes data and prepares reports, upon request. Nucleic acid isolation and next generation sequencing library construction Compiles data and records results....",Associate Scientist 3865,60320.0
89626,    Piper Companies,"Durham, NC 27709",$25 - $35 an hour,Responsibilities for the HPLC Scientist include:. Please send resumes to achu@pipercompanies.com. Evaluate data for large molecules in different dosage forms....,HPLC Scientist,62400.0
89659,    DISYS (Digital Intelligence SYStems Pvt. Ltd.),"Raleigh, NC",$22 an hour,"Project work to identify/implement process improvements, performance of ongoing reviews as needed. Communicates with others (including customers, merchants,...",Research/Remediation Analyst,45760.0
89667,    Hunter International,"Research Triangle Park, NC",$34 an hour,"At our site in the Research Triangle Park in North Carolina, we are seeking Bioinformatics scientists within the Integrated Trait Knowledge Function....",Bioinformatics Scientist,70720.0
89671,    Hunter International,"Research Triangle Park, NC",$20 an hour,"Work will be conducted under direct supervision of research scientists within Global Insecticide Research. $20/hr (Benefits – health, dental, vision)....",Biologist / Entomologist,41600.0
92637,    The NPD Group,"Greensboro, NC 27409","$100,000 a year",Interacting with Commercial teams and Analytic Solution Consultants to establish and manage client strategies to meet Analytic Solutions Revenue Targets....,"Director, Custom Research / Marketing Scientist",100000.0
95789,    Department of the Army,"Tripler Army Medical Center, HI","$56,770 - $72,073 a year","Certification from the American Society for Clinical Pathology (ASCP), American Medical Technologist (AMT) or other board or registry deemed comparable by...",Medical Technologist,64421.5
96095,Department of the Army,"Tripler Army Medical Center, HI","$56,770 - $72,073 a year","Certification from the American Society for Clinical Pathology (ASCP), American Medical Technologist (AMT) or other board or registry deemed comparable by...",Medical Technologist,64421.5
98960,Workbridge Associates,"Dallas, TX","$80,000 - $100,000 a year","By using Python, R, machine learning techniques, and natural language processing, you will source client data to create industry benchmarks....",Data Scientist,90000.0
99024,Real Time Resolutions Inc.,"Dallas, TX 75247 (Northwest Dallas area)","$30,000 a year",Identify complaint/dispute trends through proactive root cause analysis and provide suggestions for improvement....,Account Research Analyst,30000.0
99111,Cottonwood Financial,"Irving, TX 75038","$120,000 a year","Work closely with the Director of Marketing and Marketing Campaign Manager to profitably manage Direct Mail campaigns by monitoring trends, extracting and...",DIRECTOR OF MARKETING ANALYTICS,120000.0
102077,    Relus Technologies LLC,"Atlanta, GA","$85,000 a year","Bachelors in Computer Science, Applied Math, Statistics, or a scientific field with a strong background in natural language processing, language models, text...",Data Scientist,85000.0
102081,    Centers for Disease Control and Prevention,"Atlanta, GA","$125,132 - $161,900 a year","Specialized experience is experience which is directly related to the position which has equipped the applicant with the particular knowledge, skills and...",Health Scientist,143516.0
102086,Enterprise Select,"Duluth, GA","$96,400 a year",We are currently looking for an experienced Data Scientist to join their growing Analytics team. Clearly communicate the business and technical benefits of...,Data Scientist,96400.0
102090,Emory University,"Atlanta, GA","$96,900 a year",Knowledge of data and information systems standards relevant to the field of biomedical informatics and health systems.DATE CREATED/MODIFIED/REVISED:....,Research Informatics Analyst,96900.0
102109,    Emory University,"Atlanta, GA","$77,600 a year","Qualification for this position requires demonstrated expertise in designing and developing software, databases, and interfaces for analyzing and manipulating...","Scientist, Asst Bioinformatics",77600.0
102119,Principle Solutions Group,"Atlanta, GA","$110,000 a year","Professional experience with SAS, SQL and/or R to query data from enterprise databases. Requirements for the Data Scientist:....",Data Scientist,110000.0
102126,Emory University,"Atlanta, GA","$64,100 a year",The candidate will have a unique opportunity to work with leading scientists and to progress his/her career in one of the nation's top research universities....,Bioinformatics Analyst,64100.0
102129,"HireIQ Solutions, Inc.","Atlanta, GA","$75,000 - $115,000 a year",Work with our data scientist on our cutting edge machine learning toolset. Manage and update our operational infrastructure (our product is hosted on AWS)....,Python Full Stack Engineer,95000.0
102152,Smith Hanley Associates,"Atlanta, GA","$110,000 - $130,000 a year",Requirements of the Data Scientist:. Analytical consulting company in Atlanta is seeking a Data Scientist with SAS and R experience to perform pricing analysis...,Data Scientist,120000.0
102158,Emory University,"Atlanta, GA","$61,300 a year","Bachelor's degree in business management, applied science or a related field and 2 years of related experience....",Associate Sponsored Research Analyst,61300.0
102179,Emory University,"Atlanta, GA","$70,600 a year","Woodruff Health Sciences Center, Assistant Dean of Research, Emory University School of Medicine. Provide excellent maintenance and operation of installed...",Associate Scientist (AR) SOM,70600.0
102184,    Emory University,"Atlanta, GA","$53,200 a year","In addition to coordinating activity between the Center and over 100 clinical units worldwide, the successful applicant will be a point of contact for parents,...",Program Coordinator,53200.0
102211,    Veredus,"Atlanta, GA",$60 - $80 an hour,"Data Scientist Skills & Requirements:. Data Scientist, Contract to Perm, Atlanta, GA $60-80/hr. Data visualization skills leveraging statistical language....",Data Scientist,145600.0
102225,Principle Solutions Group,"Roswell, GA","$120,000 a year","R and/or Python experience a plus. For immediate consideration, please send your MS Word formatted resume to caroline.railey@principlesolutions.com....",Senior Statistical Consultant,120000.0
102226,Emory University,"Atlanta, GA","$86,400 a year","Clinical will not only accelerate science at Emory, but it also will accelerate science at over 60 partner institutes....",Systems Software Engineer,86400.0
102233,    Absolute Opportunities,"Atlanta, GA","$95,000 - $125,000 a year","They will have cross-functional interactions with the scientists on the team, software engineers, marketing, NPI groups and other R & D staff....",Sr. Biochemical Automation Workflow Engineer - RT,110000.0
102250,    Emory University,"Atlanta, GA","$58,300 a year","Duties will include preparation and editing of manuscripts, grants, and reports describing original research focused on the roles of TAM-family kinases in...",Technical Editor,58300.0
102252,    Veredus,"Atlanta, GA","$60,000 - $90,000 a year","Data Analyst, SQL, Data Scientist, Query. Data Analyst Skills & Requirements:. Help use data to drive operations decisions....",Data Analyst,75000.0
102263,JSP Recruitment Services,"Duluth, GA","$70,000 - $80,000 a year",Work with accounting and finance colleagues within the Company to manage the implementation of key accounting policies (e.g....,"Accounting Policy, Research and Special Projects Senior Anal...",75000.0
102273,    Smith Hanley Associates,"Atlanta, GA","$90,000 - $120,000 a year",For consideration please send your resume to Nancy Darian - ndarian@smithhanley.com. Fortune 500 company is seeking a Statistician - Model Validation to join an...,Statistician - Model Validation,105000.0
102299,Emory University,"Atlanta, GA","$53,200 a year","Performs wealth estimations and assigns ratings based on screening data and publically available information, including insider holdings, real estate, salary...",Prospect Research Analyst-Development and Alumni Relations,53200.0
102301,Smith Hanley Associates,"Atlanta, GA","$90,000 - $120,000 a year",For consideration please send your resume to Nancy Darian - ndarian@smithhanley.com. Fortune 500 company is seeking a Statistician - Model Validation to join an...,Statistician - Model Validation,105000.0
102355,Lighthouse Recruiting,"Atlanta, GA","$55,000 - $70,000 a year","A growing clinical toxicology laboratory in Atlanta, GA is seeking a Certifying Scientist with strong chromatography skills to perform quantification and data...",Certifying Scientist,62500.0
105238,Department of the Army,"Memphis, TN","$60,210 - $93,821 a year","This is a Career Program (CP)-18, Engineers & Scientists position. Or (2) include differential and integral calculus and courses (more advanced than first-year...",Civil Engineer (Structural),77015.5
105327,    Department of the Army,"Memphis, TN","$60,210 - $93,821 a year","This is a Career Program (CP)-18, Engineers & Scientists position. Or (2) include differential and integral calculus and courses (more advanced than first-year...",Civil Engineer (Structural),77015.5
108382,"ECL & Associates, Inc","Jacksonville, FL","$30,000 - $35,000 a year","Collaborate with data engineers to aggregate, analyze, and validate data. Leverage data to build models, deliver context and insight for a growing industry....",Market Research Analyst,32500.0
111520,Dept of Forensic Science (778),"Richmond, VA","$52,676 - $88,123 a year","Ability to distinguish color differences, maintain accurate records, analyze and interpret data, manage multiple tasks efficiently, establish work priorities,...",Forensic Scientist,70399.5
111528,Dept of Forensic Science,"Richmond, VA","$52,676 - $88,123 a year","Degree in biology, chemistry, forensic science or related scientific field â?¢ Successful completion of course work required for an examiner/analyst by the FBI...",Forensic Scientist - Division of Technical Services - CF902,70399.5
111529,Richard Bland College (241),"Petersburg, VA","$45,000 - $60,000 a year","3 years of experience in data management and reporting. Experience with data visualization software, such as PowerBI is a plus....",Institutional Research Analyst,52500.0
111532,Richard Bland College,"Petersburg, VA","$45,000 - $60,000 a year","Â?¢ 3 years of experience in data management and reporting. Â?¢ Experience with data visualization software, such as PowerBI is a plus....",Institutional Research Analyst,52500.0
111534,Apex Life Sciences,"Richmond, VA",$25 an hour,Looking for an ambitious and motivated individual to join our diverse and skilled group of scientists focusing on ChapStick and related semi-solid & emulsion...,Research Scientist,52000.0
111536,Makro,"Richmond, VA",$25 an hour,The Wellness team is looking for an ambitious and motivated individual to join our diverse and skilled group of scientists focusing on ChapStick and related...,Scientist - Analytical III-44441,52000.0
111541,Smith Hanley Associates,"Richmond, VA","$75,000 - $90,000 a year","Data Scientist Position Description:. Strong experience using Python, R, SQL. 3+ years of experience working as a Data Scientist, Statistician, or related...","Senior Analyst, Modeling",82500.0
111549,Dept of General Services,"Richmond, VA","$48,681 - $60,617 a year","The candidate must have a Bachelor of Science degree in Biology, Microbiology, Chemistry, Medical Technology, Clinical Laboratory Science or a related field...",Laboratory Quality Assurance Officer (Senior Scientist),54649.0
114669,"Misource, Inc.","Tampa, FL","$90,000 - $108,000 a year","6+ years of experience in data scientist, statistician or comparable quantitative position Required. 3+ years of experience in Health care experience Required....",Data Scientist,99000.0
114679,University of South Florida,"Tampa, FL","$31,000 a year",Maintains project data bases. The Departments research activities are numerous and involve both basic and clinical research activities in all subspecialties of...,Biological Scientist - Allergy,31000.0
114697,University of South Florida,"Tampa, FL","$65,000 a year",The Data Engineer will utilize their expertise to manage data from a variety of sources including relational and unstructured/NoSQL databases and satisfy...,Data Engineer,65000.0
114707,University of South Florida,"Tampa, FL","$85,000 a year",Data Engineer will utilize their expertise to manage data from a variety of sources including relational and unstructured/NoSQL databases and satisfy...,Sr. Data Engineer,85000.0
117814,Kern Medical,"Bakersfield, CA 93306",$31.98 - $43.13 an hour,APPLICANT MUST provide a copy of a valid license to practice as a Clinical Laboratory Scientist in the State of California OR a valid license issued by the...,Clinical Laboratory Scientist,78114.4
117816,Exact Staff,"Bakersfield, CA 93301",$20 - $25 an hour,"The project deliverable will be a database including all suppliers, available, materials, and other data mentioned above....",Special Project Research Analyst,46800.0
117818,Kern Medical,"Bakersfield, CA",$31.98 - $43.13 an hour,"Clinical Laboratory Scientist I/II. Chemistry, Clinical Microbiology, or Clinical Immunohematology. Inputs and maintains clinical laboratory data utilizing....",Clinical Laboratory Scientist I/II - Shift,78114.4
117819,Kern Medical,"Bakersfield, CA 93306","$86,071 - $105,076 a year","Or possession of a valid and current license issued by the State of California limited to specialization in Clinical Chemistry, Clinical Microbiology, or...",Supervising Clinical Laboratory Scientist - Shift,95573.5
117820,"University Enterprises, Inc.","Bakersfield, CA",$12 - $18 an hour,"With a team of scientists and other dedicated professionals, the Department of Conservation administers a variety of programs vital to California’s public...",Engineering Student Assistant (Bakersfield),31200.0
117822,Kern Medical,"Bakersfield, CA",$46.46 an hour,"Clinical Laboratory Scientist I/II. Chemistry, Clinical Microbiology, or Clinical Immunohematology. Inputs and maintains clinical laboratory data....",Clinical Laboratory Scientist (Technologist) - Per Diem,96636.8
120961,Pikes Peak Community College,"Colorado Springs, CO","$4,708 a month",Data Analysis and Reporting. Experience extracting data from large relational databases and merging data from multiple sources....,"Data and Research Analyst, Institutional Effectiveness",56496.0
120966,Synergist Medical Management,"Colorado Springs, CO","$50,000 - $60,000 a year","The lab will be performing urine toxicology drug screening, confirmation testing and general clinical laboratory testing on patient samples....",Certifying Scientist-LC/MS Key Operator,55000.0
120969,Department of the Air Force,"Peterson AFB, CO","$40,033 - $52,043 a year",Ability to develop and utilize data collection techniquesand to analyze data. Applicants in receipt of an annuity based on civilian employment in the Federal...,Operations Research Analyst (EHA-ACQ-DAWDF),46038.0
124102,Dept of Forensic Science (778),"Norfolk, VA","$51,142 - $85,558 a year","Ability to maintain accurate records, analyze and interpret data, manage multiple tasks efficiently, establish work priorities, and develop sound conclusions...",Forensic Scientist,68350.0
124111,Dept of Forensic Science,"Norfolk, VA","$51,142 - $85,558 a year",Â?¢ Bachelorâ??s degree from an accredited four-year college or university â?¢ Successful completion of a documented forensic scientist latent print training...,Forensic Scientist - Latent Prints - CF379,68350.0
124114,National Aeronautics and Space Administration,"Hampton, VA","$61,748 - $93,821 a year","As a Research Computer Scientist, this position is engaged in professional scientific and engineering work which is systematic, critical, intensive...","Research Computer Scientist, AST - Computer Research and Dev...",77784.5
127256,University of Nebraska Medical Center,"Omaha, NE","$41,500 - $62,300 a year","Physicians, nurses, military, faculty, research scientists, etc.). This position will provide operational support of facilities, activities, and resources for...",Advanced Simulation Specialist I,51900.0
127257,American Title Inc,"Omaha, NE 68164",$12 an hour,Utilizes available resources to ensure that any discrepancies are resolved. Using the obtained real property records and other applicable information the...,Property Research Analyst,24960.0
130406,CareerMonks,"Austin, TX","$100,000 - $130,000 a year","Participate in meetings with business (account/product management, data scientists) to obtain new requirements....",Big Data Engineer,115000.0
